"Cycle"  "Average State"  "Average Threshold"  "Clusters"
   549    0.1120   -0.0013      4949
   550    0.1060    0.0251      5519
   551    0.0993    0.0489      5973
   552    0.0953    0.0720      5733
   553    0.0927    0.0952      5229
   554    0.0851    0.1158      5022
   555    0.0726    0.1327      5329
   556    0.0495    0.1427      6455
   557    0.0200    0.1433      6980
   558   -0.0110    0.1368      6597
   559   -0.0408    0.1232      6880
   560   -0.0660    0.1034      6740
   561   -0.0837    0.0802      6168
   562   -0.0941    0.0555      5669
   563   -0.0966    0.0309      5702
   564   -0.0933    0.0083      5713
   565   -0.0867   -0.0123      5283
   566   -0.0802   -0.0311      5164
   567   -0.0772   -0.0500      5262
   568   -0.0760   -0.0690      5391
   569   -0.0755   -0.0875      5948
   570   -0.0693   -0.1044      6736
   571   -0.0551   -0.1171      7151
   572   -0.0325   -0.1228      6926
   573   -0.0050   -0.1211      7097
   574    0.0245   -0.1115      6460
   575    0.0499   -0.0960      5580
   576    0.0688   -0.0766      5628
   577    0.0778   -0.0557      5460
   578    0.0795   -0.0355      5436
   579    0.0782   -0.0167      5386
   580    0.0740    0.0011      5786
   581    0.0698    0.0184      5780
   582    0.0677    0.0349      5488
   583    0.0697    0.0525      5267
   584    0.0740    0.0716      5028
   585    0.0772    0.0910      4916
   586    0.0687    0.1083      5356
   587    0.0506    0.1190      6270
   588    0.0255    0.1224      6291
   589   -0.0035    0.1175      6902
   590   -0.0296    0.1068      7392
   591   -0.0489    0.0922      6731
   592   -0.0615    0.0755      6311
   593   -0.0666    0.0578      6120
   594   -0.0684    0.0406      5759
   595   -0.0671    0.0237      5083
   596   -0.0700    0.0062      4864
   597   -0.0743   -0.0130      4711
   598   -0.0827   -0.0345      4907
   599   -0.0901   -0.0578      5494
   600   -0.0941   -0.0825      6655
   601   -0.0882   -0.1039      7369
   602   -0.0710   -0.1201      7082
   603   -0.0476   -0.1289      7056
   604   -0.0186   -0.1298      6981
   605    0.0108   -0.1238      6307
   606    0.0329   -0.1125      6145
   607    0.0465   -0.0992      5860
   608    0.0554   -0.0843      5951
   609    0.0635   -0.0675      5469
   610    0.0724   -0.0486      5097
   611    0.0812   -0.0269      4931
   612    0.0893   -0.0032      5025
   613    0.0985    0.0227      5106
   614    0.1077    0.0509      5316
   615    0.1127    0.0796      5103
   616    0.1080    0.1060      5147
   617    0.0907    0.1266      6294
   618    0.0641    0.1399      6799
   619    0.0335    0.1447      6777
   620    0.0013    0.1408      7275
   621   -0.0259    0.1304      6883
   622   -0.0482    0.1157      6364
   623   -0.0667    0.0966      5912
   624   -0.0801    0.0747      5519
   625   -0.0917    0.0497      5234
   626   -0.1009    0.0232      5104
   627   -0.1084   -0.0045      4955
   628   -0.1179   -0.0352      5133
   629   -0.1271   -0.0679      5615
   630   -0.1319   -0.1009      6905
   631   -0.1239   -0.1309      7512
   632   -0.1014   -0.1539      7162
